timestamp,F,P,H,heat_demand,heat_satisfaction,PHR,eta_e,eta_h,profit,revenue_elec,revenue_heat,fuel_cost,boiler_fuel,SMP
72,90.83161927332075,12.85715468841916,61.0,61.0,1.0,0.2107730276790026,0.14154932821059582,0.6715723058557984,-7076668.182351071,1408.1155814756662,2745000.0,9823076.297932547,0.0,109.52
73,92.32066221222765,12.627620457911355,62.0,62.0,1.0,0.20367129770824768,0.13678000303857069,0.6715723058557984,-7192767.514444077,1342.8211594942936,2789999.9999999995,9984110.33560357,0.0,106.34
74,82.07625,11.036820409698997,55.12013646849697,52.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
75,82.07625,11.036820409698997,55.12013646849697,41.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
76,82.07625,11.036820409698997,55.12013646849697,38.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
77,82.07625,11.036820409698997,55.12013646849697,39.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
78,82.07625,11.036820409698997,55.12013646849697,41.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
79,82.07625,11.326098260046011,55.12013646849697,53.0,1.0,0.20548022892721357,0.13799483114842614,0.6715723058557984,-6394598.399989072,1213.59142856393,2480406.1410823637,8876218.1325,0.0,107.15
80,105.72204866238972,15.323232006437907,71.0,71.0,1.0,0.21582016910475926,0.14493884861587153,0.6715723058557984,-8236703.84376912,1712.8308736796293,3195000.0,11433416.6746428,0.0,111.78
81,123.5905639292725,17.911220439507684,83.0,83.0,1.0,0.2157978366205745,0.14492385073797207,0.6715723058557984,-9628823.18958658,2001.9371085237738,3735000.0,13365825.126695104,0.0,111.77
82,141.45907919615527,20.793573346616835,95.0,95.0,1.0,0.21887971943807194,0.1469935578880962,0.6715723058557984,-11020880.785923239,2352.792824169695,4275000.0,15298233.578747408,0.0,113.15
83,144.43716507396908,20.93239015219573,97.00000000000001,97.0,1.0,0.2157978366205745,0.1449238507379721,0.6715723058557984,-11252962.04084215,2339.6132473109164,4365000.000000001,15620301.65408946,0.0,111.77
