date,SMP,LNG (kWh),branch,heat_demand,year,month,day,hour,ymd,imputated_temperature,season,heat_produce,electric_produce,heat_produce_MWh,total_energy,month,E_total,F_Month,F_hat,F_hat_MWh,eta_e,eta_h,eta_total,F_corrected,F_hat_corrected,F_hat_corr_MWh,eta_e_corr,eta_h_corr,eta_total_corr
2021-10-03 03:00:00,105.32,108.146,강남,45.0,2021,10.0,03,03,2021-10-03,17.6,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
2021-10-03 04:00:00,104.41,108.146,강남,37.0,2021,10.0,03,04,2021-10-03,17.8,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
2021-10-03 05:00:00,104.41,108.146,강남,39.0,2021,10.0,03,05,2021-10-03,17.9,가을,48.0,13.0,55.824,68.824,2021-10,63884.9342,1014725.0,1093.175320199359,11.806293458153078,1.1011076461954774,4.7283256339397175,5.829433280135196,6944014.586956522,7480.869565217391,86.03,0.1511100778798093,0.6488899221201906,0.7999999999999999
2021-10-03 06:00:00,104.41,108.146,강남,47.0,2021,10.0,03,06,2021-10-03,17.5,가을,54.0,13.0,62.802,75.80199999999999,2021-10,63884.9342,1014725.0,1204.0113277599648,13.00332233980762,0.9997445006959912,4.829688779439204,5.829433280135195,6944014.586956522,8239.347826086956,94.7525,0.1371995461861164,0.6628004538138835,0.7999999999999999
2021-10-03 07:00:00,104.41,108.146,강남,56.0,2021,10.0,03,07,2021-10-03,17.6,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
2021-10-03 08:00:00,104.41,108.146,강남,58.0,2021,10.0,03,08,2021-10-03,19.1,가을,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.20530308537126,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.1461700632466619,0.6538299367533379,0.7999999999999999
2021-10-03 09:00:00,103.75,108.146,강남,80.0,2021,10.0,03,09,2021-10-03,21.8,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
2021-10-03 10:00:00,103.75,108.146,강남,89.0,2021,10.0,03,10,2021-10-03,23.9,가을,51.0,12.0,59.313,71.313,2021-10,63884.9342,1014725.0,1132.7096886170073,12.233264637063678,0.9809319389399176,4.848501341195277,5.829433280135195,6944014.586956522,7751.413043478262,89.14125000000001,0.1346178116191998,0.6653821883808001,0.7999999999999999
2021-10-03 11:00:00,106.39,108.146,강남,95.0,2021,10.0,03,11,2021-10-03,25.8,가을,51.0,11.0,59.313,70.313,2021-10,63884.9342,1014725.0,1116.8260532543522,12.061721375147004,0.9119759657742827,4.917457314360912,5.829433280135195,6944014.586956522,7642.717391304348,87.89125,0.1251546655668226,0.6748453344331774,0.8
2021-10-03 12:00:00,106.21,108.146,강남,93.0,2021,10.0,03,12,2021-10-03,27.9,가을,52.0,12.0,60.476,72.476,2021-10,63884.9342,1014725.0,1151.1823565437749,12.432769450672769,0.9651912269112856,4.864242053223909,5.829433280135195,6944014.586956522,7877.826086956522,90.595,0.1324576411501738,0.6675423588498262,0.8
2021-10-03 13:00:00,106.57,108.146,강남,97.0,2021,10.0,03,13,2021-10-03,28.7,가을,51.0,12.0,59.313,71.313,2021-10,63884.9342,1014725.0,1132.7096886170073,12.233264637063678,0.9809319389399176,4.848501341195277,5.829433280135195,6944014.586956522,7751.413043478262,89.14125000000001,0.1346178116191998,0.6653821883808001,0.7999999999999999
2021-10-03 14:00:00,107.36,108.146,강남,94.0,2021,10.0,03,14,2021-10-03,29.7,가을,54.0,12.0,62.802,74.80199999999999,2021-10,63884.9342,1014725.0,1188.1276923973098,12.831779077890946,0.93517819525711,4.894255084878086,5.829433280135196,6944014.586956522,8130.652173913043,93.5025,0.1283388144702013,0.6716611855297987,0.7999999999999999
2021-10-03 15:00:00,108.18,108.146,강남,95.0,2021,10.0,03,15,2021-10-03,29.4,가을,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.20530308537126,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.1461700632466619,0.6538299367533379,0.7999999999999999
2021-10-03 16:00:00,109.66,108.146,강남,92.0,2021,10.0,03,16,2021-10-03,28.5,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
2021-10-03 17:00:00,112.06,108.146,강남,93.0,2021,10.0,03,17,2021-10-03,27.2,가을,50.0,13.0,58.15,71.15,2021-10,63884.9342,1014725.0,1130.1206560528944,12.20530308537126,1.065110789061947,4.764322491073248,5.829433280135195,6944014.586956522,7733.695652173914,88.93750000000001,0.1461700632466619,0.6538299367533379,0.7999999999999999
2021-10-03 18:00:00,112.4,108.146,강남,88.0,2021,10.0,03,18,2021-10-03,25.8,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-03 19:00:00,113.05,108.146,강남,72.0,2021,10.0,03,19,2021-10-03,22.3,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
2021-10-03 20:00:00,113.05,108.146,강남,71.0,2021,10.0,03,20,2021-10-03,20.8,가을,53.0,13.0,61.639,74.63900000000001,2021-10,63884.9342,1014725.0,1185.5386598331977,12.803817526198534,1.015322186012105,4.8141110941230885,5.829433280135194,6944014.586956522,8112.934782608697,93.29875,0.1393373437479065,0.6606626562520933,0.8
2021-10-03 21:00:00,113.05,108.146,강남,71.0,2021,10.0,03,21,2021-10-03,20.2,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-03 22:00:00,113.05,108.146,강남,70.0,2021,10.0,03,22,2021-10-03,19.4,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-03 23:00:00,110.37,108.146,강남,70.0,2021,10.0,03,23,2021-10-03,19.8,가을,53.0,14.0,61.639,75.63900000000001,2021-10,63884.9342,1014725.0,1201.4222951958525,12.975360788115204,1.0789680709937033,4.750465209141491,5.829433280135195,6944014.586956522,8221.63043478261,94.54875,0.1480717619217599,0.65192823807824,0.8
2021-10-04 00:00:00,109.52,108.146,강남,61.0,2021,10.0,04,00,2021-10-04,19.3,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-04 01:00:00,106.34,108.146,강남,62.0,2021,10.0,04,01,2021-10-04,18.7,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-04 02:00:00,104.8,108.146,강남,52.0,2021,10.0,04,02,2021-10-04,18.2,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-04 03:00:00,104.8,108.146,강남,41.0,2021,10.0,04,03,2021-10-04,19.2,가을,51.0,13.0,59.313,72.313,2021-10,63884.9342,1014725.0,1148.593323979662,12.404807898980351,1.0479807592238952,4.7814525209113,5.829433280135195,6944014.586956522,7860.108695652175,90.39125,0.1438192302905424,0.6561807697094574,0.7999999999999999
